RECEIVE | System Time: 1741192980.2830 | Logical Clock: 253 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192980.4911 | Logical Clock: 254 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192980.6974 | Logical Clock: 255 | Message Clock Sent: 254
INTERNAL | System Time: 1741192980.9082 | Logical Clock: 256 | 
RECEIVE | System Time: 1741192981.1098 | Logical Clock: 258 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192981.3149 | Logical Clock: 259 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192981.5178 | Logical Clock: 260 | 
RECEIVE | System Time: 1741192981.7230 | Logical Clock: 262 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192981.9276 | Logical Clock: 263 | 
INTERNAL | System Time: 1741192982.1296 | Logical Clock: 264 | 
INTERNAL | System Time: 1741192982.3335 | Logical Clock: 265 | 
SEND to VMs 0, 2 | System Time: 1741192982.5394 | Logical Clock: 266 | Message Clock Sent: 265
INTERNAL | System Time: 1741192982.7484 | Logical Clock: 267 | 
INTERNAL | System Time: 1741192982.9541 | Logical Clock: 268 | 
INTERNAL | System Time: 1741192983.1570 | Logical Clock: 269 | 
INTERNAL | System Time: 1741192983.3623 | Logical Clock: 270 | 
INTERNAL | System Time: 1741192983.5681 | Logical Clock: 271 | 
RECEIVE | System Time: 1741192983.7738 | Logical Clock: 273 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192983.9781 | Logical Clock: 275 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192984.1805 | Logical Clock: 276 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741192984.3862 | Logical Clock: 277 | Message Clock Sent: 276
SEND to VMs 0, 2 | System Time: 1741192984.5905 | Logical Clock: 278 | Message Clock Sent: 277
SEND to VM 0 | System Time: 1741192984.7932 | Logical Clock: 279 | Message Clock Sent: 278
SEND to VM 0 | System Time: 1741192985.0002 | Logical Clock: 280 | Message Clock Sent: 279
INTERNAL | System Time: 1741192985.2050 | Logical Clock: 281 | 
INTERNAL | System Time: 1741192985.4085 | Logical Clock: 282 | 
SEND to VMs 0, 2 | System Time: 1741192985.6137 | Logical Clock: 283 | Message Clock Sent: 282
INTERNAL | System Time: 1741192985.8198 | Logical Clock: 284 | 
SEND to VMs 0, 2 | System Time: 1741192986.0253 | Logical Clock: 285 | Message Clock Sent: 284
INTERNAL | System Time: 1741192986.2322 | Logical Clock: 286 | 
RECEIVE | System Time: 1741192986.4336 | Logical Clock: 289 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192986.6365 | Logical Clock: 290 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192986.8419 | Logical Clock: 291 | Message Clock Sent: 290
INTERNAL | System Time: 1741192987.0499 | Logical Clock: 292 | 
SEND to VM 2 | System Time: 1741192987.2513 | Logical Clock: 293 | Message Clock Sent: 292
INTERNAL | System Time: 1741192987.4573 | Logical Clock: 294 | 
RECEIVE | System Time: 1741192987.6596 | Logical Clock: 296 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192987.8647 | Logical Clock: 297 | 
INTERNAL | System Time: 1741192988.0688 | Logical Clock: 298 | 
INTERNAL | System Time: 1741192988.2737 | Logical Clock: 299 | 
INTERNAL | System Time: 1741192988.4795 | Logical Clock: 300 | 
INTERNAL | System Time: 1741192988.6853 | Logical Clock: 301 | 
RECEIVE | System Time: 1741192988.8906 | Logical Clock: 303 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192989.0914 | Logical Clock: 304 | 
INTERNAL | System Time: 1741192989.2971 | Logical Clock: 305 | 
INTERNAL | System Time: 1741192989.5001 | Logical Clock: 306 | 
SEND to VMs 0, 2 | System Time: 1741192989.7034 | Logical Clock: 307 | Message Clock Sent: 306
INTERNAL | System Time: 1741192989.9077 | Logical Clock: 308 | 
SEND to VM 2 | System Time: 1741192990.1088 | Logical Clock: 309 | Message Clock Sent: 308
RECEIVE | System Time: 1741192990.3146 | Logical Clock: 310 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192990.5179 | Logical Clock: 313 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192990.7204 | Logical Clock: 314 | Message Clock Sent: 313
INTERNAL | System Time: 1741192990.9285 | Logical Clock: 315 | 
INTERNAL | System Time: 1741192991.1339 | Logical Clock: 316 | 
SEND to VMs 0, 2 | System Time: 1741192991.3410 | Logical Clock: 317 | Message Clock Sent: 316
INTERNAL | System Time: 1741192991.5495 | Logical Clock: 318 | 
INTERNAL | System Time: 1741192991.7549 | Logical Clock: 319 | 
INTERNAL | System Time: 1741192991.9603 | Logical Clock: 320 | 
INTERNAL | System Time: 1741192992.1661 | Logical Clock: 321 | 
INTERNAL | System Time: 1741192992.3713 | Logical Clock: 322 | 
RECEIVE | System Time: 1741192992.5750 | Logical Clock: 325 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192992.7794 | Logical Clock: 326 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192992.9836 | Logical Clock: 327 | 
SEND to VM 0 | System Time: 1741192993.1881 | Logical Clock: 328 | Message Clock Sent: 327
SEND to VM 2 | System Time: 1741192993.3901 | Logical Clock: 329 | Message Clock Sent: 328
INTERNAL | System Time: 1741192993.5976 | Logical Clock: 330 | 
SEND to VM 0 | System Time: 1741192993.8030 | Logical Clock: 331 | Message Clock Sent: 330
INTERNAL | System Time: 1741192994.0091 | Logical Clock: 332 | 
INTERNAL | System Time: 1741192994.2144 | Logical Clock: 333 | 
INTERNAL | System Time: 1741192994.4188 | Logical Clock: 334 | 
INTERNAL | System Time: 1741192994.6206 | Logical Clock: 335 | 
SEND to VMs 0, 2 | System Time: 1741192994.8223 | Logical Clock: 336 | Message Clock Sent: 335
INTERNAL | System Time: 1741192995.0251 | Logical Clock: 337 | 
INTERNAL | System Time: 1741192995.2308 | Logical Clock: 338 | 
RECEIVE | System Time: 1741192995.4330 | Logical Clock: 342 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192995.6383 | Logical Clock: 343 | Message Clock Sent: 342
SEND to VMs 0, 2 | System Time: 1741192995.8440 | Logical Clock: 344 | Message Clock Sent: 343
INTERNAL | System Time: 1741192996.0499 | Logical Clock: 345 | 
INTERNAL | System Time: 1741192996.2550 | Logical Clock: 346 | 
RECEIVE | System Time: 1741192996.4603 | Logical Clock: 347 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192996.6643 | Logical Clock: 348 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741192996.8681 | Logical Clock: 349 | Message Clock Sent: 348
