SEND to VMs 0, 1 | System Time: 1741169184.4745 | Logical Clock: 185 | Message Clock Sent: 184
INTERNAL | System Time: 1741169184.6785 | Logical Clock: 186 | 
INTERNAL | System Time: 1741169184.8799 | Logical Clock: 187 | 
INTERNAL | System Time: 1741169185.0817 | Logical Clock: 188 | 
INTERNAL | System Time: 1741169185.2844 | Logical Clock: 189 | 
INTERNAL | System Time: 1741169185.4861 | Logical Clock: 190 | 
SEND to VM 0 | System Time: 1741169185.7187 | Logical Clock: 191 | Message Clock Sent: 190
INTERNAL | System Time: 1741169185.9277 | Logical Clock: 192 | 
SEND to VM 0 | System Time: 1741169186.1289 | Logical Clock: 193 | Message Clock Sent: 192
RECEIVE | System Time: 1741169186.3309 | Logical Clock: 194 | From VM 1, Queue Length: 0
SEND to VM 0 | System Time: 1741169186.5325 | Logical Clock: 195 | Message Clock Sent: 194
INTERNAL | System Time: 1741169186.7372 | Logical Clock: 196 | 
RECEIVE | System Time: 1741169186.9628 | Logical Clock: 197 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741169187.1956 | Logical Clock: 198 | Message Clock Sent: 197
SEND to VM 1 | System Time: 1741169187.4098 | Logical Clock: 199 | Message Clock Sent: 198
INTERNAL | System Time: 1741169187.6205 | Logical Clock: 200 | 
INTERNAL | System Time: 1741169187.8222 | Logical Clock: 201 | 
INTERNAL | System Time: 1741169188.0871 | Logical Clock: 202 | 
RECEIVE | System Time: 1741169188.2891 | Logical Clock: 203 | From VM 1, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741169188.4923 | Logical Clock: 204 | Message Clock Sent: 203
SEND to VM 0 | System Time: 1741169188.6977 | Logical Clock: 205 | Message Clock Sent: 204
INTERNAL | System Time: 1741169188.9009 | Logical Clock: 206 | 
SEND to VM 0 | System Time: 1741169189.1031 | Logical Clock: 207 | Message Clock Sent: 206
INTERNAL | System Time: 1741169189.3061 | Logical Clock: 208 | 
SEND to VM 0 | System Time: 1741169189.5077 | Logical Clock: 209 | Message Clock Sent: 208
INTERNAL | System Time: 1741169189.7102 | Logical Clock: 210 | 
SEND to VM 0 | System Time: 1741169189.9126 | Logical Clock: 211 | Message Clock Sent: 210
INTERNAL | System Time: 1741169190.1165 | Logical Clock: 212 | 
INTERNAL | System Time: 1741169190.3174 | Logical Clock: 213 | 
INTERNAL | System Time: 1741169190.5192 | Logical Clock: 214 | 
INTERNAL | System Time: 1741169190.7218 | Logical Clock: 215 | 
SEND to VMs 0, 1 | System Time: 1741169190.9244 | Logical Clock: 216 | Message Clock Sent: 215
SEND to VMs 0, 1 | System Time: 1741169191.1408 | Logical Clock: 217 | Message Clock Sent: 216
INTERNAL | System Time: 1741169191.3476 | Logical Clock: 218 | 
SEND to VM 1 | System Time: 1741169191.5493 | Logical Clock: 219 | Message Clock Sent: 218
SEND to VM 1 | System Time: 1741169191.7525 | Logical Clock: 220 | Message Clock Sent: 219
INTERNAL | System Time: 1741169191.9762 | Logical Clock: 221 | 
INTERNAL | System Time: 1741169192.1831 | Logical Clock: 222 | 
INTERNAL | System Time: 1741169192.3857 | Logical Clock: 223 | 
INTERNAL | System Time: 1741169192.5876 | Logical Clock: 224 | 
INTERNAL | System Time: 1741169192.7897 | Logical Clock: 225 | 
INTERNAL | System Time: 1741169192.9911 | Logical Clock: 226 | 
SEND to VMs 0, 1 | System Time: 1741169193.1937 | Logical Clock: 227 | Message Clock Sent: 226
INTERNAL | System Time: 1741169193.3987 | Logical Clock: 228 | 
INTERNAL | System Time: 1741169193.6000 | Logical Clock: 229 | 
INTERNAL | System Time: 1741169193.8041 | Logical Clock: 230 | 
INTERNAL | System Time: 1741169194.0092 | Logical Clock: 231 | 
INTERNAL | System Time: 1741169194.2121 | Logical Clock: 232 | 
RECEIVE | System Time: 1741169194.4142 | Logical Clock: 233 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741169194.6157 | Logical Clock: 234 | 
SEND to VM 0 | System Time: 1741169194.8173 | Logical Clock: 235 | Message Clock Sent: 234
INTERNAL | System Time: 1741169195.0388 | Logical Clock: 236 | 
INTERNAL | System Time: 1741169195.2398 | Logical Clock: 237 | 
INTERNAL | System Time: 1741169195.4489 | Logical Clock: 238 | 
SEND to VM 0 | System Time: 1741169195.7431 | Logical Clock: 239 | Message Clock Sent: 238
SEND to VM 1 | System Time: 1741169195.9603 | Logical Clock: 240 | Message Clock Sent: 239
INTERNAL | System Time: 1741169196.1644 | Logical Clock: 241 | 
SEND to VMs 0, 1 | System Time: 1741169196.3658 | Logical Clock: 242 | Message Clock Sent: 241
SEND to VMs 0, 1 | System Time: 1741169196.5714 | Logical Clock: 243 | Message Clock Sent: 242
SEND to VMs 0, 1 | System Time: 1741169196.7834 | Logical Clock: 244 | Message Clock Sent: 243
INTERNAL | System Time: 1741169196.9960 | Logical Clock: 245 | 
INTERNAL | System Time: 1741169197.2018 | Logical Clock: 246 | 
INTERNAL | System Time: 1741169197.4066 | Logical Clock: 247 | 
INTERNAL | System Time: 1741169197.6090 | Logical Clock: 248 | 
SEND to VM 0 | System Time: 1741169197.8106 | Logical Clock: 249 | Message Clock Sent: 248
RECEIVE | System Time: 1741169198.0160 | Logical Clock: 250 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741169198.2902 | Logical Clock: 251 | Message Clock Sent: 250
INTERNAL | System Time: 1741169198.5076 | Logical Clock: 252 | 
RECEIVE | System Time: 1741169198.7453 | Logical Clock: 253 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169198.9484 | Logical Clock: 254 | 
RECEIVE | System Time: 1741169199.1501 | Logical Clock: 255 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169199.3538 | Logical Clock: 256 | 
INTERNAL | System Time: 1741169199.5557 | Logical Clock: 257 | 
INTERNAL | System Time: 1741169199.7568 | Logical Clock: 258 | 
INTERNAL | System Time: 1741169199.9595 | Logical Clock: 259 | 
RECEIVE | System Time: 1741169200.1611 | Logical Clock: 260 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169200.3634 | Logical Clock: 261 | 
SEND to VMs 0, 1 | System Time: 1741169200.5654 | Logical Clock: 262 | Message Clock Sent: 261
INTERNAL | System Time: 1741169200.7713 | Logical Clock: 263 | 
INTERNAL | System Time: 1741169200.9746 | Logical Clock: 264 | 
RECEIVE | System Time: 1741169201.1760 | Logical Clock: 265 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169201.3789 | Logical Clock: 266 | 
INTERNAL | System Time: 1741169201.5805 | Logical Clock: 267 | 
INTERNAL | System Time: 1741169201.7817 | Logical Clock: 268 | 
INTERNAL | System Time: 1741169201.9833 | Logical Clock: 269 | 
INTERNAL | System Time: 1741169202.1867 | Logical Clock: 270 | 
INTERNAL | System Time: 1741169202.3884 | Logical Clock: 271 | 
RECEIVE | System Time: 1741169202.5901 | Logical Clock: 272 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741169202.7919 | Logical Clock: 273 | Message Clock Sent: 272
INTERNAL | System Time: 1741169202.9951 | Logical Clock: 274 | 
INTERNAL | System Time: 1741169203.1977 | Logical Clock: 275 | 
INTERNAL | System Time: 1741169203.3993 | Logical Clock: 276 | 
RECEIVE | System Time: 1741169203.6018 | Logical Clock: 277 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169203.8167 | Logical Clock: 278 | 
INTERNAL | System Time: 1741169204.0208 | Logical Clock: 279 | 
