SEND to VM 2 | System Time: 1741195255.9359 | Logical Clock: 138 | Message Clock Sent: 137
SEND to VM 1 | System Time: 1741195256.1100 | Logical Clock: 139 | Message Clock Sent: 138
INTERNAL | System Time: 1741195256.2845 | Logical Clock: 140 | 
RECEIVE | System Time: 1741195256.4527 | Logical Clock: 141 | From VM 2, Queue Length: 0
SEND to VM 1 | System Time: 1741195256.6220 | Logical Clock: 142 | Message Clock Sent: 141
RECEIVE | System Time: 1741195256.7956 | Logical Clock: 143 | From VM 2, Queue Length: 0
SEND to VM 1 | System Time: 1741195256.9656 | Logical Clock: 144 | Message Clock Sent: 143
RECEIVE | System Time: 1741195257.1361 | Logical Clock: 145 | From VM 2, Queue Length: 0
SEND to VM 1 | System Time: 1741195257.3082 | Logical Clock: 146 | Message Clock Sent: 145
SEND to VM 1 | System Time: 1741195257.4784 | Logical Clock: 147 | Message Clock Sent: 146
SEND to VMs 1, 2 | System Time: 1741195257.6522 | Logical Clock: 148 | Message Clock Sent: 147
SEND to VMs 1, 2 | System Time: 1741195257.8271 | Logical Clock: 149 | Message Clock Sent: 148
SEND to VM 2 | System Time: 1741195258.0027 | Logical Clock: 150 | Message Clock Sent: 149
INTERNAL | System Time: 1741195258.1766 | Logical Clock: 151 | 
SEND to VM 1 | System Time: 1741195258.3484 | Logical Clock: 152 | Message Clock Sent: 151
SEND to VM 1 | System Time: 1741195258.5215 | Logical Clock: 153 | Message Clock Sent: 152
RECEIVE | System Time: 1741195258.6923 | Logical Clock: 154 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741195258.8603 | Logical Clock: 155 | Message Clock Sent: 154
SEND to VM 2 | System Time: 1741195259.0317 | Logical Clock: 156 | Message Clock Sent: 155
SEND to VM 1 | System Time: 1741195259.2038 | Logical Clock: 157 | Message Clock Sent: 156
INTERNAL | System Time: 1741195259.3771 | Logical Clock: 158 | 
INTERNAL | System Time: 1741195259.5492 | Logical Clock: 159 | 
RECEIVE | System Time: 1741195259.7188 | Logical Clock: 160 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741195259.8913 | Logical Clock: 161 | 
RECEIVE | System Time: 1741195260.0638 | Logical Clock: 162 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741195260.2363 | Logical Clock: 163 | 
